Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
402,6155.8,-13.2,1.15,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
403,3188.6,-14.9,1.24,511,MISFIRE,No pressure rise post-spark,9e-05,99.97
404,5920.4,-11.3,1.25,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
405,1795.8,-9.6,1.27,527,MISFIRE,No pressure rise post-spark,0.00021,99.97
406,4842.3,-10.0,1.38,524,MISFIRE,No pressure rise post-spark,5e-05,99.97
407,5242.2,-12.9,1.28,518,MISFIRE,No pressure rise post-spark,4e-05,99.97
408,2140.0,-8.3,1.35,530,MISFIRE,No pressure rise post-spark,0.00017,99.97
409,3214.5,-16.8,0.68,443,MISFIRE,No pressure rise post-spark,8e-05,99.97
410,3855.9,-9.8,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
411,2916.9,-8.2,1.42,530,MISFIRE,No pressure rise post-spark,0.00011,99.97
412,4362.4,-13.2,1.29,515,MISFIRE,No pressure rise post-spark,6e-05,99.97
413,2290.8,-8.9,1.36,530,MISFIRE,No pressure rise post-spark,0.00015,99.97
414,5978.4,-10.4,1.27,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
415,4841.4,-15.0,1.24,511,MISFIRE,No pressure rise post-spark,5e-05,99.97
416,7180.1,-16.3,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
417,3236.8,-13.8,1.28,515,MISFIRE,No pressure rise post-spark,9e-05,99.97
418,7311.9,-16.7,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
419,6582.1,-11.0,1.15,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
420,5442.2,-14.1,1.2,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
421,6098.7,-14.3,1.13,511,MISFIRE,No pressure rise post-spark,3e-05,99.97
422,6091.9,-12.9,0.71,459,MISFIRE,No pressure rise post-spark,3e-05,99.97
423,4971.7,-8.2,1.43,530,MISFIRE,No pressure rise post-spark,5e-05,99.97
424,2648.6,-14.3,0.71,451,MISFIRE,No pressure rise post-spark,0.0001,99.97
425,6662.4,-16.1,0.98,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
426,7334.0,-17.7,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
427,5131.6,-13.3,1.26,515,MISFIRE,No pressure rise post-spark,5e-05,99.97
428,6755.6,-12.0,1.09,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
429,1963.0,-12.3,1.2,518,MISFIRE,No pressure rise post-spark,0.00019,99.97
430,3451.6,-14.4,1.25,511,MISFIRE,No pressure rise post-spark,8e-05,99.97
431,2002.6,-8.3,1.33,530,MISFIRE,No pressure rise post-spark,0.00019,99.97
432,3414.4,-12.5,1.32,518,MISFIRE,No pressure rise post-spark,9e-05,99.97
433,5599.0,-17.0,1.07,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
434,1682.6,-16.4,1.03,503,MISFIRE,No pressure rise post-spark,0.00022,99.97
435,1871.1,-13.0,1.16,515,MISFIRE,No pressure rise post-spark,0.0002,99.97
