Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
382,3765.8,STABLE,Normal Physics,1.43,527,0.0,2e-05
383,3809.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
384,3811.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
385,3811.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
386,3789.4,STABLE,Normal Physics,1.43,527,0.0,2e-05
387,3867.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
388,3802.3,STABLE,Normal Physics,1.43,527,0.0,2e-05
389,3848.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
390,3867.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
391,3822.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
392,3867.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
393,3861.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
394,3886.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
395,3869.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
396,3925.1,MISFIRE,Fuel cut,1.43,527,0.0,0.0
397,3921.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
398,3935.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
399,3905.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
400,3904.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
401,3888.4,STABLE,Normal Physics,1.43,527,0.0,1e-05
402,3903.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
403,3949.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
404,3944.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
405,3994.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
406,3982.8,MISFIRE,Fuel cut,1.43,527,0.0,0.0
407,3975.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
408,3968.6,STABLE,Normal Physics,1.43,527,0.0,1e-05
409,3947.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
410,3968.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
411,3951.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
412,4013.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
413,4038.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
414,3980.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
415,4065.2,STABLE,Normal Physics,1.43,527,0.0,1e-05
416,4071.1,STABLE,Normal Physics,1.43,527,0.0,1e-05
417,4018.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
418,4045.6,MISFIRE,Fuel cut,1.43,527,0.0,0.0
419,4078.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
420,4097.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
421,4017.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
422,4069.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
423,4034.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
424,4037.5,STABLE,Normal Physics,1.43,527,0.0,1e-05
425,4043.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
426,4094.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
427,4062.9,STABLE,Normal Physics,1.43,527,0.0,1e-05
428,4090.8,STABLE,Normal Physics,1.43,527,0.0,1e-05
429,4161.7,STABLE,Normal Physics,1.43,527,0.0,1e-05
430,4091.3,STABLE,Normal Physics,1.43,527,0.0,1e-05
431,4153.3,MISFIRE,Fuel cut,1.43,527,0.0,0.0
432,4153.0,STABLE,Normal Physics,1.43,527,0.0,1e-05
