Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
665,5739.0,STABLE,Normal Physics,1.33,527,0.0,1e-05
666,5712.1,STABLE,Normal Physics,1.33,527,0.0,1e-05
667,5751.6,STABLE,Normal Physics,1.33,527,0.0,1e-05
668,5700.2,STABLE,Normal Physics,1.34,527,0.0,1e-05
669,5760.9,STABLE,Normal Physics,1.33,527,0.0,1e-05
670,5783.6,STABLE,Normal Physics,1.33,527,0.0,1e-05
671,5723.0,STABLE,Normal Physics,1.33,527,0.0,1e-05
672,5736.3,STABLE,Normal Physics,1.33,527,0.0,1e-05
673,5759.0,STABLE,Normal Physics,1.33,527,0.0,1e-05
674,5805.9,STABLE,Normal Physics,1.32,527,0.0,1e-05
675,5825.2,STABLE,Normal Physics,1.32,527,0.0,1e-05
676,5761.5,STABLE,Normal Physics,1.33,527,0.0,1e-05
677,5790.8,STABLE,Normal Physics,1.33,527,0.0,1e-05
678,5821.1,STABLE,Normal Physics,1.32,527,0.0,1e-05
679,5846.8,STABLE,Normal Physics,1.32,527,0.0,1e-05
680,5848.5,STABLE,Normal Physics,1.32,527,0.0,1e-05
681,5819.8,STABLE,Normal Physics,1.32,527,0.0,1e-05
682,5792.0,STABLE,Normal Physics,1.33,527,0.0,1e-05
683,5850.2,STABLE,Normal Physics,1.32,527,0.0,1e-05
684,5844.1,STABLE,Normal Physics,1.32,527,0.0,1e-05
685,5828.8,STABLE,Normal Physics,1.32,527,0.0,1e-05
686,5839.1,STABLE,Normal Physics,1.32,527,0.0,1e-05
687,5829.3,STABLE,Normal Physics,1.32,527,0.0,1e-05
688,5879.2,STABLE,Normal Physics,1.31,527,0.0,1e-05
689,5847.5,STABLE,Normal Physics,1.32,527,0.0,1e-05
690,5917.0,STABLE,Normal Physics,1.31,527,0.0,1e-05
691,5876.4,EARLY_FIRE,Pre-ignition,1.31,527,0.0,0.0
692,5880.9,STABLE,Normal Physics,1.31,527,0.0,1e-05
693,5910.3,STABLE,Normal Physics,1.31,527,0.0,1e-05
694,5936.8,EARLY_FIRE,Pre-ignition,1.31,527,0.0,0.0
695,5883.7,STABLE,Normal Physics,1.31,527,0.0,1e-05
696,5910.5,STABLE,Normal Physics,1.31,527,0.0,1e-05
697,5944.0,STABLE,Normal Physics,1.31,527,0.0,1e-05
698,5963.2,STABLE,Normal Physics,1.3,527,0.0,1e-05
699,5941.4,STABLE,Normal Physics,1.31,527,0.0,1e-05
700,5924.2,STABLE,Normal Physics,1.31,527,0.0,1e-05
701,6015.8,STABLE,Normal Physics,1.3,527,0.0,1e-05
702,6015.6,STABLE,Normal Physics,1.3,527,0.0,1e-05
703,5983.7,STABLE,Normal Physics,1.3,527,0.0,1e-05
704,5966.7,STABLE,Normal Physics,1.3,527,0.0,1e-05
705,5963.5,STABLE,Normal Physics,1.3,527,0.0,1e-05
706,6005.8,STABLE,Normal Physics,1.3,527,0.0,1e-05
707,6032.9,STABLE,Normal Physics,1.29,527,0.0,1e-05
708,6038.9,STABLE,Normal Physics,1.29,527,0.0,1e-05
709,5973.0,STABLE,Normal Physics,1.3,527,0.0,1e-05
710,6025.1,STABLE,Normal Physics,1.3,527,0.0,1e-05
711,5986.7,STABLE,Normal Physics,1.3,527,0.0,1e-05
712,6034.6,STABLE,Normal Physics,1.29,527,0.0,1e-05
713,6050.9,STABLE,Normal Physics,1.29,527,0.0,1e-05
714,6093.8,EARLY_FIRE,Pre-ignition,1.29,527,0.0,0.0
715,6016.4,STABLE,Normal Physics,1.3,527,0.0,1e-05
716,6092.7,EARLY_FIRE,Pre-ignition,1.29,527,0.0,0.0
717,6069.7,STABLE,Normal Physics,1.29,527,0.0,1e-05
718,6034.7,STABLE,Normal Physics,1.29,527,0.0,1e-05
719,6110.8,STABLE,Normal Physics,1.28,527,0.0,1e-05
720,6090.8,EARLY_FIRE,Pre-ignition,1.29,527,0.0,0.0
721,6133.8,STABLE,Normal Physics,1.28,527,0.0,1e-05
722,6068.5,STABLE,Normal Physics,1.29,527,0.0,1e-05
723,6105.1,STABLE,Normal Physics,1.28,527,0.0,1e-05
724,6130.6,STABLE,Normal Physics,1.28,527,0.0,1e-05
725,6164.0,MISFIRE,Fuel cut,1.28,527,0.0,0.0
726,6090.0,STABLE,Normal Physics,1.29,527,0.0,1e-05
727,6155.4,STABLE,Normal Physics,1.28,527,0.0,1e-05
728,6109.9,STABLE,Normal Physics,1.28,527,0.0,1e-05
729,6198.7,STABLE,Normal Physics,1.27,527,0.0,1e-05
730,6164.3,STABLE,Normal Physics,1.28,527,0.0,1e-05
731,6194.0,MISFIRE,Fuel cut,1.27,527,0.0,0.0
732,6191.3,STABLE,Normal Physics,1.27,527,0.0,1e-05
733,6228.7,EARLY_FIRE,Pre-ignition,1.27,527,0.0,0.0
734,6169.0,STABLE,Normal Physics,1.27,527,0.0,1e-05
735,6182.2,STABLE,Normal Physics,1.27,527,0.0,1e-05
736,6241.1,STABLE,Normal Physics,1.26,527,0.0,1e-05
737,6225.1,STABLE,Normal Physics,1.27,527,0.0,1e-05
738,6241.1,STABLE,Normal Physics,1.26,527,0.0,1e-05
739,6224.8,STABLE,Normal Physics,1.27,527,0.0,1e-05
740,6189.6,STABLE,Normal Physics,1.27,527,0.0,1e-05
741,6211.1,STABLE,Normal Physics,1.27,527,0.0,1e-05
742,6230.2,STABLE,Normal Physics,1.27,527,0.0,1e-05
743,6274.5,STABLE,Normal Physics,1.26,527,0.0,1e-05
744,6226.0,STABLE,Normal Physics,1.27,527,0.0,1e-05
745,6291.9,STABLE,Normal Physics,1.26,527,0.0,1e-05
746,6252.4,STABLE,Normal Physics,1.26,527,0.0,1e-05
747,6327.4,STABLE,Normal Physics,1.25,527,0.0,1e-05
748,6280.1,STABLE,Normal Physics,1.26,527,0.0,1e-05
749,6315.3,STABLE,Normal Physics,1.25,527,0.0,1e-05
750,6284.0,STABLE,Normal Physics,1.26,527,0.0,1e-05
751,6262.3,STABLE,Normal Physics,1.26,527,0.0,1e-05
752,6272.9,STABLE,Normal Physics,1.26,527,0.0,1e-05
753,6290.8,STABLE,Normal Physics,1.26,527,0.0,1e-05
754,6357.9,STABLE,Normal Physics,1.25,527,0.0,1e-05
755,6370.5,STABLE,Normal Physics,1.24,527,0.0,1e-05
756,6312.1,STABLE,Normal Physics,1.25,527,0.0,1e-05
757,6381.9,STABLE,Normal Physics,1.24,527,0.0,1e-05
758,6379.2,STABLE,Normal Physics,1.24,527,0.0,1e-05
759,6392.4,STABLE,Normal Physics,1.24,527,0.0,1e-05
760,6385.2,STABLE,Normal Physics,1.24,527,0.0,1e-05
761,6371.8,STABLE,Normal Physics,1.24,527,0.0,1e-05
762,6356.7,STABLE,Normal Physics,1.25,527,0.0,1e-05
763,6353.0,STABLE,Normal Physics,1.25,527,0.0,1e-05
764,6435.6,STABLE,Normal Physics,1.23,527,0.0,1e-05
765,6360.1,STABLE,Normal Physics,1.25,527,0.0,1e-05
766,6379.3,MISFIRE,Fuel cut,1.24,527,0.0,0.0
767,6379.0,STABLE,Normal Physics,1.24,527,0.0,1e-05
768,6384.4,STABLE,Normal Physics,1.24,527,0.0,1e-05
769,6458.0,STABLE,Normal Physics,1.23,527,0.0,1e-05
770,6432.7,STABLE,Normal Physics,1.23,527,0.0,1e-05
771,6476.0,STABLE,Normal Physics,1.23,527,0.0,1e-05
772,6419.1,STABLE,Normal Physics,1.24,527,0.0,1e-05
773,6491.2,STABLE,Normal Physics,1.22,527,0.0,1e-05
774,6495.5,STABLE,Normal Physics,1.22,527,0.0,1e-05
775,6461.6,STABLE,Normal Physics,1.23,527,0.0,1e-05
776,6491.4,STABLE,Normal Physics,1.22,527,0.0,1e-05
777,6489.6,STABLE,Normal Physics,1.22,527,0.0,1e-05
778,6447.1,STABLE,Normal Physics,1.23,527,0.0,1e-05
779,6514.2,MISFIRE,Fuel cut,1.22,527,0.0,0.0
780,6487.6,EARLY_FIRE,Pre-ignition,1.22,527,0.0,0.0
781,6504.3,STABLE,Normal Physics,1.22,527,0.0,1e-05
782,6490.3,STABLE,Normal Physics,1.22,527,0.0,1e-05
783,6564.7,STABLE,Normal Physics,1.21,527,0.0,1e-05
784,6541.1,STABLE,Normal Physics,1.22,527,0.0,1e-05
785,6570.8,STABLE,Normal Physics,1.21,527,0.0,1e-05
786,6589.8,STABLE,Normal Physics,1.21,527,0.0,1e-05
787,6525.6,STABLE,Normal Physics,1.22,527,0.0,1e-05
788,6565.2,EARLY_FIRE,Pre-ignition,1.21,527,0.0,0.0
789,6589.1,STABLE,Normal Physics,1.21,527,0.0,1e-05
790,6542.1,STABLE,Normal Physics,1.22,527,0.0,1e-05
791,6553.3,STABLE,Normal Physics,1.21,527,0.0,1e-05
792,6593.4,STABLE,Normal Physics,1.21,527,0.0,1e-05
793,6568.2,STABLE,Normal Physics,1.21,527,0.0,1e-05
794,6615.7,STABLE,Normal Physics,1.2,527,0.0,1e-05
795,6652.3,STABLE,Normal Physics,1.2,527,0.0,1e-05
796,6598.6,STABLE,Normal Physics,1.21,527,0.0,1e-05
797,6578.5,EARLY_FIRE,Pre-ignition,1.21,527,0.0,0.0
798,6592.4,STABLE,Normal Physics,1.21,527,0.0,1e-05
799,6591.1,STABLE,Normal Physics,1.21,527,0.0,1e-05
800,6685.8,STABLE,Normal Physics,1.19,527,0.0,1e-05
801,6628.9,STABLE,Normal Physics,1.2,527,0.0,1e-05
802,6641.7,STABLE,Normal Physics,1.2,527,0.0,1e-05
803,6672.3,STABLE,Normal Physics,1.19,527,0.0,1e-05
804,6702.0,EARLY_FIRE,Pre-ignition,1.19,527,0.0,0.0
805,6646.8,STABLE,Normal Physics,1.2,527,0.0,1e-05
806,6638.6,STABLE,Normal Physics,1.2,527,0.0,1e-05
807,6693.8,STABLE,Normal Physics,1.19,527,0.0,1e-05
808,6647.8,STABLE,Normal Physics,1.2,527,0.0,1e-05
809,6717.8,STABLE,Normal Physics,1.18,527,0.0,1e-05
810,6720.2,STABLE,Normal Physics,1.18,527,0.0,1e-05
811,6729.8,STABLE,Normal Physics,1.18,527,0.0,1e-05
812,6759.1,STABLE,Normal Physics,1.18,527,0.0,1e-05
813,6738.1,STABLE,Normal Physics,1.18,527,0.0,1e-05
814,6698.2,STABLE,Normal Physics,1.19,527,0.0,1e-05
815,6732.6,STABLE,Normal Physics,1.18,527,0.0,1e-05
816,6706.0,STABLE,Normal Physics,1.19,527,0.0,1e-05
817,6741.7,STABLE,Normal Physics,1.18,527,0.0,1e-05
818,6803.7,STABLE,Normal Physics,1.17,527,0.0,1e-05
819,6745.0,MISFIRE,Fuel cut,1.18,527,0.0,0.0
820,6777.9,MISFIRE,Fuel cut,1.17,527,0.0,0.0
821,6810.2,STABLE,Normal Physics,1.17,527,0.0,1e-05
822,6798.1,STABLE,Normal Physics,1.17,527,0.0,1e-05
823,6758.1,STABLE,Normal Physics,1.18,527,0.0,1e-05
824,6823.1,STABLE,Normal Physics,1.16,527,0.0,1e-05
825,6801.2,STABLE,Normal Physics,1.17,527,0.0,1e-05
826,6861.7,STABLE,Normal Physics,1.16,527,0.0,1e-05
827,6850.3,EARLY_FIRE,Pre-ignition,1.16,527,0.0,0.0
828,6796.2,STABLE,Normal Physics,1.17,527,0.0,1e-05
829,6836.5,STABLE,Normal Physics,1.16,527,0.0,1e-05
830,6840.1,STABLE,Normal Physics,1.16,527,0.0,1e-05
831,6886.8,EARLY_FIRE,Pre-ignition,1.15,527,0.0,0.0
832,6860.4,STABLE,Normal Physics,1.16,527,0.0,1e-05
833,6892.4,STABLE,Normal Physics,1.15,527,0.0,1e-05
834,6857.2,STABLE,Normal Physics,1.16,527,0.0,1e-05
835,6911.2,STABLE,Normal Physics,1.15,527,0.0,1e-05
836,6843.2,STABLE,Normal Physics,1.16,527,0.0,1e-05
837,6892.9,STABLE,Normal Physics,1.15,527,0.0,1e-05
838,6878.4,STABLE,Normal Physics,1.15,527,0.0,1e-05
839,6860.4,STABLE,Normal Physics,1.16,527,0.0,1e-05
840,6936.6,STABLE,Normal Physics,1.14,527,0.0,1e-05
841,6921.2,STABLE,Normal Physics,1.15,527,0.0,1e-05
842,6957.2,STABLE,Normal Physics,1.14,527,0.0,1e-05
843,6891.1,STABLE,Normal Physics,1.15,527,0.0,1e-05
844,6897.5,STABLE,Normal Physics,1.15,527,0.0,1e-05
845,6920.4,STABLE,Normal Physics,1.15,527,0.0,1e-05
846,6980.1,STABLE,Normal Physics,1.13,527,0.0,1e-05
847,6927.1,EARLY_FIRE,Pre-ignition,1.14,527,0.0,0.0
848,6988.5,STABLE,Normal Physics,1.13,527,0.0,1e-05
849,6935.5,STABLE,Normal Physics,1.14,527,0.0,1e-05
850,6988.8,STABLE,Normal Physics,1.13,527,0.0,1e-05
851,6979.4,STABLE,Normal Physics,1.13,527,0.0,1e-05
852,6978.0,MISFIRE,Fuel cut,1.13,527,0.0,0.0
853,7037.8,EARLY_FIRE,Pre-ignition,1.12,527,0.0,0.0
854,7030.0,STABLE,Normal Physics,1.12,527,0.0,1e-05
855,7048.5,STABLE,Normal Physics,1.12,527,0.0,1e-05
856,7024.1,STABLE,Normal Physics,1.13,527,0.0,1e-05
857,7067.8,STABLE,Normal Physics,1.12,527,0.0,1e-05
858,7062.0,STABLE,Normal Physics,1.12,527,0.0,1e-05
859,7087.5,STABLE,Normal Physics,1.11,527,0.0,1e-05
860,7029.2,STABLE,Normal Physics,1.12,527,0.0,1e-05
861,7078.5,STABLE,Normal Physics,1.11,527,0.0,1e-05
862,7034.5,STABLE,Normal Physics,1.12,527,0.0,1e-05
863,7029.1,STABLE,Normal Physics,1.12,527,0.0,1e-05
864,7115.5,STABLE,Normal Physics,1.11,527,0.0,1e-05
865,7074.9,STABLE,Normal Physics,1.11,527,0.0,1e-05
866,7068.9,STABLE,Normal Physics,1.12,527,0.0,1e-05
867,7068.5,STABLE,Normal Physics,1.12,527,0.0,1e-05
868,7149.4,STABLE,Normal Physics,1.1,527,0.0,1e-05
869,7108.8,STABLE,Normal Physics,1.11,527,0.0,1e-05
870,7126.4,STABLE,Normal Physics,1.1,527,0.0,1e-05
871,7099.9,STABLE,Normal Physics,1.11,527,0.0,1e-05
872,7138.1,STABLE,Normal Physics,1.1,527,0.0,1e-05
873,7128.8,STABLE,Normal Physics,1.1,527,0.0,1e-05
874,7176.2,STABLE,Normal Physics,1.1,527,0.0,1e-05
875,7176.2,STABLE,Normal Physics,1.1,527,0.0,1e-05
876,7139.3,STABLE,Normal Physics,1.1,527,0.0,1e-05
877,7176.1,STABLE,Normal Physics,1.1,527,0.0,1e-05
878,7172.6,STABLE,Normal Physics,1.1,527,0.0,1e-05
879,7220.4,STABLE,Normal Physics,1.1,527,0.0,1e-05
880,7190.4,STABLE,Normal Physics,1.1,527,0.0,1e-05
881,7147.5,STABLE,Normal Physics,1.1,527,0.0,1e-05
882,7179.0,STABLE,Normal Physics,1.1,527,0.0,1e-05
883,7169.4,STABLE,Normal Physics,1.1,527,0.0,1e-05
884,7190.8,STABLE,Normal Physics,1.1,527,0.0,1e-05
885,7267.7,STABLE,Normal Physics,1.1,527,0.0,0.0
886,7189.0,STABLE,Normal Physics,1.1,527,0.0,1e-05
887,7183.8,STABLE,Normal Physics,1.1,527,0.0,1e-05
888,7213.6,STABLE,Normal Physics,1.1,527,0.0,1e-05
889,7245.9,STABLE,Normal Physics,1.1,527,0.0,0.0
890,7203.0,STABLE,Normal Physics,1.1,527,0.0,1e-05
891,7216.1,STABLE,Normal Physics,1.1,527,0.0,1e-05
892,7303.1,STABLE,Normal Physics,1.1,527,0.0,0.0
893,7316.7,STABLE,Normal Physics,1.1,527,0.0,0.0
894,7295.6,STABLE,Normal Physics,1.1,527,0.0,0.0
895,7285.4,STABLE,Normal Physics,1.1,527,0.0,0.0
896,7284.4,STABLE,Normal Physics,1.1,527,0.0,0.0
897,7286.0,STABLE,Normal Physics,1.1,527,0.0,0.0
898,7315.4,STABLE,Normal Physics,1.1,527,0.0,0.0
899,7345.0,STABLE,Normal Physics,1.1,527,0.0,0.0
900,7312.0,STABLE,Normal Physics,1.1,527,0.0,0.0
901,7279.1,STABLE,Normal Physics,1.1,527,0.0,0.0
902,7378.0,STABLE,Normal Physics,1.1,527,0.0,0.0
903,7356.8,STABLE,Normal Physics,1.1,527,0.0,0.0
904,7326.2,STABLE,Normal Physics,1.1,527,0.0,0.0
905,7374.5,STABLE,Normal Physics,1.1,527,0.0,0.0
906,7382.3,STABLE,Normal Physics,1.1,527,0.0,0.0
907,7362.6,STABLE,Normal Physics,1.1,527,0.0,0.0
908,7369.0,STABLE,Normal Physics,1.1,527,0.0,0.0
909,7428.4,STABLE,Normal Physics,1.1,527,0.0,0.0
910,7404.4,STABLE,Normal Physics,1.1,527,0.0,0.0
911,7420.8,STABLE,Normal Physics,1.1,527,0.0,0.0
912,7437.7,STABLE,Normal Physics,1.1,527,0.0,0.0
913,7440.8,STABLE,Normal Physics,1.1,527,0.0,0.0
914,7431.8,STABLE,Normal Physics,1.1,527,0.0,0.0
915,7409.0,STABLE,Normal Physics,1.1,527,0.0,0.0
916,7378.9,STABLE,Normal Physics,1.1,527,0.0,0.0
917,7436.3,EARLY_FIRE,Pre-ignition,1.1,527,0.0,0.0
918,7408.7,STABLE,Normal Physics,1.1,527,0.0,0.0
919,7425.3,STABLE,Normal Physics,1.1,527,0.0,0.0
920,7442.2,STABLE,Normal Physics,1.1,527,0.0,0.0
921,7460.7,STABLE,Normal Physics,1.1,527,0.0,0.0
922,7473.8,STABLE,Normal Physics,1.1,527,0.0,0.0
923,7472.8,STABLE,Normal Physics,1.1,527,0.0,0.0
924,7500.1,STABLE,Normal Physics,1.1,527,0.0,0.0
925,7453.9,STABLE,Normal Physics,1.1,527,0.0,0.0
926,7489.1,STABLE,Normal Physics,1.1,527,0.0,0.0
927,7499.5,STABLE,Normal Physics,1.1,527,0.0,0.0
928,7538.3,STABLE,Normal Physics,1.1,527,0.0,0.0
929,7551.5,STABLE,Normal Physics,1.1,527,0.0,0.0
930,7487.1,STABLE,Normal Physics,1.1,527,0.0,0.0
931,7509.7,STABLE,Normal Physics,1.1,527,0.0,0.0
932,7548.9,STABLE,Normal Physics,1.1,527,0.0,0.0
933,7515.0,STABLE,Normal Physics,1.1,527,0.0,0.0
934,7587.9,STABLE,Normal Physics,1.1,527,0.0,0.0
935,7587.4,STABLE,Normal Physics,1.1,527,0.0,0.0
936,7590.9,STABLE,Normal Physics,1.1,527,0.0,0.0
937,7555.6,STABLE,Normal Physics,1.1,527,0.0,0.0
938,7611.4,STABLE,Normal Physics,1.1,527,0.0,0.0
939,7537.4,STABLE,Normal Physics,1.1,527,0.0,0.0
940,7579.2,STABLE,Normal Physics,1.1,527,0.0,0.0
941,7591.9,STABLE,Normal Physics,1.1,527,0.0,0.0
942,7654.4,STABLE,Normal Physics,1.1,527,0.0,0.0
943,7650.0,STABLE,Normal Physics,1.1,527,0.0,0.0
944,7596.2,STABLE,Normal Physics,1.1,527,0.0,0.0
945,7597.6,STABLE,Normal Physics,1.1,527,0.0,0.0
946,7620.5,STABLE,Normal Physics,1.1,527,0.0,0.0
947,7688.4,STABLE,Normal Physics,1.1,527,0.0,0.0
948,7662.4,STABLE,Normal Physics,1.1,527,0.0,0.0
949,7626.1,STABLE,Normal Physics,1.1,527,0.0,0.0
950,7621.3,STABLE,Normal Physics,1.1,527,0.0,0.0
951,7647.5,STABLE,Normal Physics,1.1,527,0.0,0.0
952,7695.4,STABLE,Normal Physics,1.1,527,0.0,0.0
953,7728.5,STABLE,Normal Physics,1.1,527,0.0,0.0
954,7708.1,STABLE,Normal Physics,1.1,527,0.0,0.0
955,7670.1,STABLE,Normal Physics,1.1,527,0.0,0.0
956,7679.5,STABLE,Normal Physics,1.1,527,0.0,0.0
957,7754.7,EARLY_FIRE,Pre-ignition,1.1,527,0.0,0.0
958,7673.1,STABLE,Normal Physics,1.1,527,0.0,0.0
959,7746.8,STABLE,Normal Physics,1.1,527,0.0,0.0
960,7687.5,STABLE,Normal Physics,1.1,527,0.0,0.0
961,7734.4,STABLE,Normal Physics,1.1,527,0.0,0.0
962,7730.1,STABLE,Normal Physics,1.1,527,0.0,0.0
963,7784.8,STABLE,Normal Physics,1.1,527,0.0,0.0
964,7768.3,STABLE,Normal Physics,1.1,527,0.0,0.0
965,7774.7,STABLE,Normal Physics,1.1,527,0.0,0.0
966,7748.9,STABLE,Normal Physics,1.1,527,0.0,0.0
967,7787.6,STABLE,Normal Physics,1.1,527,0.0,0.0
968,7795.1,MISFIRE,Fuel cut,1.1,527,0.0,0.0
969,7761.9,EARLY_FIRE,Pre-ignition,1.1,527,0.0,0.0
970,7751.7,STABLE,Normal Physics,1.1,527,0.0,0.0
971,7847.2,STABLE,Normal Physics,1.1,527,0.0,0.0
972,7762.2,STABLE,Normal Physics,1.1,527,0.0,0.0
973,7861.8,STABLE,Normal Physics,1.1,527,0.0,0.0
974,7853.9,STABLE,Normal Physics,1.1,527,0.0,0.0
975,7806.7,STABLE,Normal Physics,1.1,527,0.0,0.0
976,7864.2,STABLE,Normal Physics,1.1,527,0.0,0.0
977,7848.2,STABLE,Normal Physics,1.1,527,0.0,0.0
978,7888.9,STABLE,Normal Physics,1.1,527,0.0,0.0
979,7903.8,MISFIRE,Fuel cut,1.1,527,0.0,0.0
980,7888.4,STABLE,Normal Physics,1.1,527,0.0,0.0
981,7883.7,STABLE,Normal Physics,1.1,527,0.0,0.0
982,7862.7,STABLE,Normal Physics,1.1,527,0.0,0.0
983,7857.6,STABLE,Normal Physics,1.1,527,0.0,0.0
984,7883.7,STABLE,Normal Physics,1.1,527,0.0,0.0
985,7898.5,STABLE,Normal Physics,1.1,527,0.0,0.0
986,7874.0,STABLE,Normal Physics,1.1,527,0.0,0.0
987,7958.5,STABLE,Normal Physics,1.1,527,0.0,0.0
988,7945.7,STABLE,Normal Physics,1.1,527,0.0,0.0
989,7900.3,STABLE,Normal Physics,1.1,527,0.0,0.0
990,7928.3,STABLE,Normal Physics,1.1,527,0.0,0.0
991,7907.5,STABLE,Normal Physics,1.1,527,0.0,0.0
992,7913.6,STABLE,Normal Physics,1.1,527,0.0,0.0
993,7907.6,STABLE,Normal Physics,1.1,527,0.0,0.0
994,7939.5,STABLE,Normal Physics,1.1,527,0.0,0.0
995,7979.2,STABLE,Normal Physics,1.1,527,0.0,0.0
996,8020.3,MISFIRE,Fuel cut,1.1,527,0.0,0.0
997,8007.0,STABLE,Normal Physics,1.1,527,0.0,0.0
998,8014.7,STABLE,Normal Physics,1.1,527,0.0,0.0
999,8026.6,STABLE,Normal Physics,1.1,527,0.0,0.0
